Ask a Question,,File 15,,,,,
,,,,,,,
Character?,|,Question,|,Comment,|,Correct answer?,|
Byleth M,|,Ask about their likes.,|,"I don't know if ""like"" is the right word, but I find myself helping people almost reflexively.",|,Commend that.,|
Byleth M,|,Ask about their dislikes.,|,"You know, I'm not sure—though I suppose if someone were to harm my father, I could never forgive them.",|,End things there.,|
Byleth M,|,Ask about dreams for the future.,|,I honestly have no idea. I'm not even sure if I'll take over the mercenaries or not.,|,Offer encouragement.,|
Byleth M,|,Ask about their worries.,|,None of my worries would be helped by talking them out.,|,Be relieved.,|
Byleth M,|,Ask about their home.,|,"I have no hometown. As far back as I can remember, I've been traveling with the mercenaries.",|,Be impressed.,|
Byleth M,|,Ask about memories of the past.,|,I remember all of our fights—you're probably the only person I've ever feared on the battlefield.,|,Sympathize.,|
Byleth M,|,Ask about their friends.,|,You have a different aura from my mercenary companions. It was hard to get used to at first.,|,Acknowledge it.,|
Byleth M,|,Ask about preferred fighting style.,|,"Swordwork, as well as the sort of guerrilla warfare I learned from my father.",|,Get competitive over it.,|
Byleth M,|,Ask what they think of you.,|,I feel that you and I are very much alike.,|,Agree.,|
Byleth M,|,Ask what they think of you.,|,"You swore to surpass me one day, but I've not been standing still in the meantime.",|,Nod emphatically.,|
Byleth M,|,Ask about any personal news.,|,"I can still wield a blade, so I must be fine.",|,Extend a challenge.,|
Byleth M,|,Ask about any personal news.,|,"If you're asking how well Jeralt's band is fitting in, I'd say things are...getting better.",|,Be relieved.,|
Byleth F,|,Ask about their likes.,|,"I don't know if ""like"" is the right word, but I find myself helping people almost reflexively.",|,Commend that.,|
Byleth F,|,Ask about their dislikes.,|,"You know, I'm not sure—though I suppose if someone were to harm my father, I could never forgive them.",|,End things there.,|
Byleth F,|,Ask about dreams for the future.,|,I honestly have no idea. I'm not even sure if I'll take over the mercenaries or not.,|,Offer encouragement.,|
Byleth F,|,Ask about their worries.,|,None of my worries would be helped by talking them out.,|,Be relieved.,|
Byleth F,|,Ask about their home.,|,"I have no hometown. As far back as I can remember, I've been traveling with the mercenaries.",|,Be impressed.,|
Byleth F,|,Ask about memories of the past.,|,I remember all of our fights—you're probably the only person I've ever feared on the battlefield.,|,Sympathize.,|
Byleth F,|,Ask about their friends.,|,You have a different aura from my mercenary companions. It was hard to get used to at first.,|,Acknowledge it.,|
Byleth F,|,Ask about preferred fighting style.,|,"Swordwork, as well as the sort of guerrilla warfare I learned from my father.",|,Get competitive over it.,|
Byleth F,|,Ask what they think of you.,|,I feel that you and I are very much alike.,|,Agree.,|
Byleth F,|,Ask what they think of you.,|,"You swore to surpass me one day, but I've not been standing still in the meantime.",|,Nod emphatically.,|
Byleth F,|,Ask about any personal news.,|,"I can still wield a blade, so I must be fine.",|,Extend a challenge.,|
Byleth F,|,Ask about any personal news.,|,"If you're asking how well Jeralt's band is fitting in, I'd say things are...getting better.",|,Be relieved.,|
Edelgard,|,Ask about their likes.,|,"I adore nature, which is precisely why I treasure days such as this.",|,Smile.,|
Edelgard,|,Ask about their dislikes.,|,"I dislike convention. I can't stand missing a good opportunity simply because I'm ""not supposed to.""",|,State your thoughts.,|
Edelgard,|,Ask about dreams for the future.,|,"My dream is to sit about and simply do...nothing. Sadly, there's so much demanded of me it will likely remain a dream until my final days.",|,Give a pep talk.,|
Edelgard,|,Ask about their worries.,|,"Oh, I could go on and on about all of my intractable problems. How much time do you have?",|,Act dependable.,|
Edelgard,|,Ask about their family.,|,"I'd rather not talk about that right now. Perhaps some evening, when sleep eludes me.",|,Let that sink in for a moment.,|
Edelgard,|,Ask about memories of the past.,|,"Have I told you about the boy who gave me the dagger? I called him ""Dee,"" which is all I really remember about him.",|,Be envious.,|
Edelgard,|,Ask about their friends.,|,"I'm lucky they're all so capable, as are you. I do hope you see that.",|,Give a pep talk.,|
Edelgard,|,Ask about preferred fighting style.,|,"I don't object to swords or magic, but an axe has always felt most natural in my hand. I'm not sure why.",|,Ask for more details.,|
Edelgard,|,Ask what they think of you.,|,I hope I'm paying you adequately for your service. The Imperial army would be lost without you.,|,Act dependable.,|
Edelgard,|,Ask what they think of you.,|,I hope you'll continue to lend me your strength long after this war is over.,|,Be shocked.,|
Edelgard,|,Ask about any personal news.,|,"Me? Oh, I suppose I can't complain.",|,Express worry.,|
Edelgard,|,Ask about any personal news.,|,"Don't worry, I'm taking care not to overwork myself.",|,Express worry.,|
Dimitri,|,Ask about their likes.,|,"Seeing my people and my friends happy, for one. Beyond that, perhaps sparring and maintaining my weapons.",|,Sympathize.,|
Dimitri,|,Ask about their dislikes.,|,Hm. What do you think the answer is?,|,State your thoughts.,|
Dimitri,|,Ask about dreams for the future.,|,"The future, eh? I suppose I'll have to think about it. All my dreams at the moment pertain to our present.",|,Nod.,|
Dimitri,|,Ask about their worries.,|,Do be kind to Felix. His new duties seem to be taking more out of him than I think he realizes.,|,Nod emphatically.,|
Dimitri,|,Ask about their home.,|,"I hope you've grown to like Faerghus, even if only a little. It's a harsh place, but it is our home.",|,Smile and nod.,|
Dimitri,|,Ask about memories of the past.,|,Had I not met Dedue on that fateful day...I dare say I would be a very different person than I am now.,|,Agree.,|
Dimitri,|,Ask about their friends.,|,I owe them my thanks and more. I would not be king were it not for the support of my friends.,|,Offer encouragement.,|
Dimitri,|,Ask about preferred fighting style.,|,There is no greater art than charging past the enemy lines singlehandedly. The fighting ends all the quicker if you can defeat their commander in one fell swoop.,|,Acknowledge it.,|
Dimitri,|,Ask what they think of you.,|,"I don't care what power lurks within you. I have chosen to trust you, and that is what I'll do.",|,Nod emphatically.,|
Dimitri,|,Ask what they think of you.,|,I hope you stay with us after the war. You've become an irreplaceable asset to the Kingdom's army.,|,Act dependable.,|
Dimitri,|,Ask about any personal news.,|,I've had much on my mind of late. The funding for our war effort is a particularly pressing concern.,|,State your thoughts.,|
Dimitri,|,Ask about any personal news.,|,Many have lost their lives because of me. It is my duty to seek vengeance for their souls.,|,Nod.,|
Claude,|,Ask about their likes.,|,"Hmmm... It's tough to say, but I do have a pretty strong interest in poisons.",|,Laugh.,|
Claude,|,Ask about their dislikes.,|,Gambling isn't for me. It's not in my nature to leave things up to chance.,|,Reach out and commiserate.,|
Claude,|,Ask about dreams for the future.,|,"Once I accomplish all my goals in Fódlan, I'll... Actually, I'm not sure what I'll do after that.",|,Ask for more details.,|
Claude,|,Ask about their worries.,|,"I'm constantly buried under an avalanche of problems. But that's what happens when you're in my position. You know what I mean, right?",|,Offer encouragement.,|
Claude,|,Ask about their family.,|,"My mother's quite the formidable woman. Even more so than Judith, if you can believe it.",|,Speculate.,|
Claude,|,Ask about memories of the past.,|,I've been surrounded by enemies ever since I was a kid. Friends were in short supply those days.,|,Struggle to answer.,|
Claude,|,Ask about their friends.,|,"I have a hard time trusting other people, but I trust you and all our friends from the bottom of my heart. I mean that.",|,Act dependable.,|
Claude,|,Ask about preferred fighting style.,|,I'll leave the brawls to other people. I prefer to fight with my brains.,|,Question that.,|
Claude,|,Ask what they think of you.,|,"I admit, your power intrigues me. But that's all. I haven't formulated any theories about it yet.",|,Express gratitude.,|
Claude,|,Ask what they think of you.,|,"No matter your true identity, it won't change the fact that you're a valued friend to me.",|,Reach out and commiserate.,|
Claude,|,Ask about any personal news.,|,"I'm extremely busy, as you know. But hey, you're in this thing just as deep as I am.",|,Give a pep talk.,|
Claude,|,Ask about any personal news.,|,"Things aren't too bad, but I'm dead tired. I want to end this war as soon as I can.",|,Give a pep talk.,|
Hubert,|,Ask about their likes.,|,I enjoy clever people who are committed to serving Lady Edelgard—and I am certain you wish me to include you in that number.,|,Nod seriously.,|
Hubert,|,Ask about their dislikes.,|,"I have an entire laundry list of loathings, but if I had to pick one, it would be reminiscing.",|,Be doubtful.,|
Hubert,|,Ask about dreams for the future.,|,Dreams retain their luster when you keep them private—though feel free to guess if you like.,|,Shrug.,|
Hubert,|,Ask about their worries.,|,"Oh, you wish to help me with my troubles? In that case, simply tell me how to dispose of you.",|,Laugh.,|
Hubert,|,Ask about their family.,|,"My father is dead, as you know. As to the rest? Ah, but that is a fascinating subject indeed...",|,Speculate.,|
Hubert,|,Ask about memories of the past.,|,"Ah, I have one. Do you remember when we first met and I thought, ""Great, another worthless scoundrel""?",|,Sympathize.,|
Hubert,|,Ask thoughts on their employer.,|,Her Majesty acts more liberated of late. I think it is a wonderful thing.,|,Be pleased.,|
Hubert,|,Ask about preferred fighting style.,|,Why be choosy? All that matters is that the enemy is dead and you continue to draw breath.,|,Smile.,|
Hubert,|,Ask what they think of you.,|,"I would classify you as a threat, frankly—so do not expect me to take my eyes off you anytime soon.",|,Extend a challenge.,|
Hubert,|,Ask what they think of you.,|,I would say you are a person of extreme importance to Her Majesty—or at least extreme utility.,|,Brush it off.,|
Hubert,|,Ask about any personal news.,|,I am well—and please do not join the chorus of wailers who claim I look pale as the grave.,|,Laugh.,|
Hubert,|,Ask about any personal news.,|,"I am quite tired, if we are being honest. Hence the need for little reprieves such as this.",|,Be pleased.,|
Ferdinand,|,Ask about their likes.,|,"Oh, I enjoy tea, horseback riding, collecting weapons, mountain vistas... The usual noble pursuits.",|,Applaud that.,|
Ferdinand,|,Ask about their dislikes.,|,"Hmm. I cannot think of anything—save, perhaps, a few foods that do not agree with me.",|,Speculate.,|
Ferdinand,|,Ask about dreams for the future.,|,"You have placed me in quite a position! Well, if you must know, I dream of steering the Empire in a better direction for the future.",|,Promise your support.,|
Ferdinand,|,Ask about their worries.,|,"I suffer endless troubles, but the future of Aegir territory is ever at the forefront of my mind.",|,Act encouraging.,|
Ferdinand,|,Ask about their family.,|,"My mother is in terrible spirits after what befell my father, and I fear her health was poor to begin with.",|,Give a pep talk.,|
Ferdinand,|,Ask about memories of the past.,|,I fear you have only ever seen me at my most inept. Perhaps we will look back on this one day and laugh.,|,Blush.,|
Ferdinand,|,Ask about their friends.,|,"We are good friends and fine rivals, which makes us strong. I have all faith the Empire will prevail!",|,Vow to achieve victory.,|
Ferdinand,|,Ask about preferred fighting style.,|,"Any noble worth their salt knows how to wield any weapon with grace, be it sword, lance, or even axe.",|,Be impressed.,|
Ferdinand,|,Ask what they think of you.,|,I think you are a perfect enigma—which is also the finest thing about you.,|,Act dependable.,|
Ferdinand,|,Ask what they think of you.,|,"I think you a fine comrade of unwavering principle, and one with more resolve than you are likely to find in a dozen others lumped together.",|,Reach out and commiserate.,|
Ferdinand,|,Ask about any personal news.,|,"I still have much to work through, but I continue to press on as best I can to a brighter future.",|,Tease.,|
Ferdinand,|,Ask about any personal news.,|,"I sometimes recall my father, and... Ah, that is all part of who I am now. I must learn to live with it.",|,Agree.,|
Linhardt,|,Ask about their likes.,|,I enjoy our time together. What about you?,|,Smile.,|
Linhardt,|,Ask about their dislikes.,|,What worries me most is that I might have to follow in my father's footsteps and take up politics.,|,Console.,|
Linhardt,|,Ask about dreams for the future.,|,I long for an age of peace when I can nap any old time I please.,|,Yawn.,|
Linhardt,|,Ask about their worries.,|,"Oh, I don't believe in moping. Either I find a solution to my problem, or I run from it as fast as my legs will carry me.",|,Be impressed.,|
Linhardt,|,Ask about their family.,|,I basically live however I please—and I'm sure you can imagine how my family feels about that.,|,Contemplate that.,|
Linhardt,|,Ask about memories of the past.,|,Wouldn't you rather hear about a book I've read? Or perhaps some tales of Caspar's daring exploits?,|,Pick one.,|
Linhardt,|,Ask about their friends.,|,"I count myself blessed to be among such diligent friends, though I could certainly do without all of this warfare.",|,Act dependable.,|
Linhardt,|,Ask about preferred fighting style.,|,"I mildly resent the implication that I'm into fighting, but I suppose I would have to say magic.",|,Be impressed.,|
Linhardt,|,Ask what they think of you.,|,Are you offering to subject yourself to my research? No? How boring.,|,Let that sink in for a moment.,|
Linhardt,|,Ask what they think of you.,|,Have you noticed any physical changes in yourself? I worry about your well-being.,|,Act dependable.,|
Linhardt,|,Ask about any personal news.,|,"The good things are good, and the bad ones are bad. Nothing ever changes, I suppose.",|,Sympathize.,|
Linhardt,|,Ask about any personal news.,|,"As usual, I'm sleepy, but I've no one to blame but... myself... Zzz...",|,Be silent.,|
Caspar,|,Ask about their likes.,|,"Fighting, obviously. Oh, but it's not like I throw a punch at whoever happens to walk by or anything.",|,Laugh.,|
Caspar,|,Ask about their dislikes.,|,I don't like the sound of thunder. Reminds me too much of my father when I've really screwed up...,|,Be shocked.,|
Caspar,|,Ask about dreams for the future.,|,"I'm not sure about dreams, but I've got some goals. Does traveling the world someday count?",|,Sympathize.,|
Caspar,|,Ask about their worries.,|,"Well, my father's basically the greatest fighter in the history of fighters. It gets to me sometimes.",|,Offer encouragement.,|
Caspar,|,Ask about their family.,|,I have an aunt who's four years younger than me. How's that for awkward?,|,Ask for more details.,|
Caspar,|,Ask about memories of the past.,|,"When we were kids, Linhardt and I were attached at the hip. You wanna hear about that?",|,Be unsure.,|
Caspar,|,Ask about their friends.,|,We've got a lot of tough fighters on our side. It's a shame I can't ever challenge any of them for real.,|,Join the competition.,|
Caspar,|,Ask about preferred fighting style.,|,All that matters to me is that I get in close—I'll smack my enemies around with whatever I've got on hand.,|,Agree.,|
Caspar,|,Ask what they think of you.,|,"You? Yeah, you're all right. Where'd this come from?",|,Blush.,|
Caspar,|,Ask what they think of you.,|,"You're a good friend, a worthy rival, and everything I'm aiming for. So, uh...yeah.",|,Get competitive over it.,|
Caspar,|,Ask about any personal news.,|,"Eh, I'm getting by—but if you'd asked the old me, I would've given you some nonsense about how things had never been better.",|,Commend that.,|
Caspar,|,Ask about any personal news.,|,"I'm feeling great! Don't believe me? C'mon, let's go a few rounds and see what's what!",|,Rise to the challenge.,|
Bernadetta,|,Ask about their likes.,|,"Oh, there are tons of things I like! Embroidery, reading, painting...",|,Be envious.,|
Bernadetta,|,Ask about their dislikes.,|,"Um, scary people, I guess? They can stay far, far, far away from me.",|,Console.,|
Bernadetta,|,Ask about dreams for the future.,|,"Hey, I'm not telling you that! In fact, I'm not telling anyone!",|,Laugh.,|
Bernadetta,|,Ask about their worries.,|,"Well, it sort of bugs me that people don't just leave me alone when I wanna stay home.",|,Sympathize.,|
Bernadetta,|,Ask about their home.,|,The only home for me is my room in the capital.,|,Nod.,|
Bernadetta,|,Ask about memories of the past.,|,I used to like playing in the gardens when I was a kid. My friend and I would run around there all day long.,|,Be relieved.,|
Bernadetta,|,Ask about their friends.,|,Are you kidding? Everyone's amazing! I just hope you all...you know? Wanna be friends with me?,|,Act dependable.,|
Bernadetta,|,Ask about preferred fighting style.,|,"I'm all about safety first, so just give me a bow and plenty of space and I'm set.",|,Sympathize.,|
Bernadetta,|,Ask what they think of you.,|,What? Why? Are you trying to learn my weaknesses or something?,|,Apologize.,|
Bernadetta,|,Ask what they think of you.,|,I feel like I can count on you—although you do scare me a bit sometimes.,|,Be pleased.,|
Bernadetta,|,Ask about any personal news.,|,I have good days and bad ones. But today must be a good day since you managed to get me outside!,|,Cheer up.,|
Bernadetta,|,Ask about any personal news.,|,I'm at my best when I'm safely tucked away behind my own four walls.,|,Humor her.,|
Dorothea,|,Ask about their likes.,|,"I was fortunate to be invited into the opera company, where I got to sing, dance, and wear the latest finery.",|,Smile and nod.,|
Dorothea,|,Ask about their dislikes.,|,"I've never been able to truly love myself... Ahaha! Sorry, I couldn't hold a straight face. I actually can't stand nobles who are infatuated with themselves.",|,Express worry.,|
Dorothea,|,Ask about dreams for the future.,|,"Well, I'd love a steady income, a roguishly handsome husband—or a beautiful wife—a warm household... Hey, are you listening?",|,Offer encouragement.,|
Dorothea,|,Ask about their worries.,|,"I have a great number of troubles, sadly. For example, fighting on the front lines means I can only pack so many outfits.",|,Laugh.,|
Dorothea,|,Ask about their family.,|,"My mother died when I was little. But now I have the opera company, and they've become my family.",|,Sympathize.,|
Dorothea,|,Ask about memories of the past.,|,Please don't make me think about the past. It wasn't a pleasant time for me.,|,Act dependable.,|
Dorothea,|,Ask about their friends.,|,"Well, they're all of impressive enough lineage, but... Oh, sorry, we're talking about marriage prospects, right?",|,Look confused.,|
Dorothea,|,Ask about preferred fighting style.,|,"It's gruesome to say, but I prefer magic because it feels the least like I'm taking a life.",|,Express worry.,|
Dorothea,|,Ask what they think of you.,|,"Why, are you fishing for compliments? Well then, I think you're someone I can rely on.",|,Blush.,|
Dorothea,|,Ask what they think of you.,|,"Wouldn't you like to know. Sorry, not telling!",|,Speculate.,|
Dorothea,|,Ask about any personal news.,|,"Not great. Life has been one battle after another, and it's all rather depressing to think about.",|,Act dependable.,|
Dorothea,|,Ask about any personal news.,|,"I'm actually having a wonderful day. Something nice happened to me earlier, you see.",|,Smile.,|
Petra,|,Ask about their likes.,|,"I like climbing trees, but it is not a thing done by people in Fódlan.",|,Express admiration.,|
Petra,|,Ask about their dislikes.,|,I do not like laziness. But sometimes that means I am working too hard and making mistakes.,|,Sympathize.,|
Petra,|,Ask about dreams for the future.,|,I hope to spend much time with people I love.,|,Give a pep talk.,|
Petra,|,Ask about their worries.,|,I never seem to get better at math. What is 49 times 73 again?,|,Calculate it.,|
Petra,|,Ask about their family.,|,"I have grandparents, and a little brother and sister. But everyone on the isles is like family, so I have a family of much largeness.",|,Be envious.,|
Petra,|,Ask about memories of the past.,|,"Long ago, I tried to put an arrow in the sun. It was killing a bird instead. That was my first hunt.",|,Commend that.,|
Petra,|,Ask about their friends.,|,"I have much to learn from them, so we are training each day. If mine was the way, I would have them all come live in Brigid.",|,Smile.,|
Petra,|,Ask about preferred fighting style.,|,"I am good with the sword and bow. I want to be better at the axe. If it can be soaring through the air, I will probably like it.",|,Get competitive over it.,|
Petra,|,Ask what they think of you.,|,I admire your strength. But I will keep training and soon be surpassing you!,|,Give a pep talk.,|
Petra,|,Ask what they think of you.,|,Brigid is needing a person like you. I am still waiting for your answer.,|,Act dependable.,|
Petra,|,Ask about any personal news.,|,"Now that I have adjusted to Fódlan pillows, I am fine.",|,Laugh.,|
Petra,|,Ask about any personal news.,|,I am missing my home every so often. All I love is located so far from here.,|,Let that sink in for a moment.,|
Dedue,|,Ask about their likes.,|,"Cooking, gardening, sewing. Such tasks help calm my nerves.",|,Sympathize.,|
Dedue,|,Ask about their dislikes.,|,Those who would harm His Majesty. Though I do appreciate those who speak plainly with him.,|,Say you trust him.,|
Dedue,|,Ask about dreams for the future.,|,I desire nothing more than to support His Majesty's reign.,|,Promise your support.,|
Dedue,|,Ask about their worries.,|,"I've served His Majesty for years now, but I still don't know his favorite food.",|,Ask for more details.,|
Dedue,|,Ask about their family.,|,I can no longer recall my parents' voices. Nor my sister's. So much time has passed since that day.,|,Let that sink in for a moment.,|
Dedue,|,Ask about memories of the past.,|,"When I was young, I always thought I'd become a blacksmith. Just like my father.",|,Be shocked.,|
Dedue,|,Ask about their friends.,|,"Ally or no, I will cut down anyone who betrays His Majesty.",|,Give a wordless nod.,|
Dedue,|,Ask about preferred fighting style.,|,I train to be a shield for His Majesty. That is why I'm better suited to defensive battles.,|,Offer encouragement.,|
Dedue,|,Ask what they think of you.,|,His Majesty trusts you. I will do the same.,|,Act dependable.,|
Dedue,|,Ask what they think of you.,|,"You've become indispensable. Both to His Majesty, and to me.",|,Blush.,|
Dedue,|,Ask about any personal news.,|,I thought of a new dish using vegetables from around here. You'll have to try it later.,|,Be pleased.,|
Dedue,|,Ask about any personal news.,|,I've been teaching the language of Fódlan to Duscur's warriors. I hope both sides can reach an understanding someday.,|,Commend that.,|
Felix,|,Ask about their likes.,|,"Strong people. The more skill, the better—especially with a sword.",|,Agree.,|
Felix,|,Ask about their dislikes.,|,"I'm not into chivalry. But I get some of it better, now that I spend all my time with knights.",|,Commend that.,|
Felix,|,Ask about dreams for the future.,|,"Hm. I have ideas, but we have a lot to do before I can start putting them into action.",|,Ask for more details.,|
Felix,|,Ask about their worries.,|,If I had to pick...probably my swordwork. Let's spar later.,|,Extend a challenge.,|
Felix,|,Ask about their family.,|,I've got nothing but appreciation for my mother and my uncle. They've taken on all of my duties while I'm out fighting this war.,|,Commend that.,|
Felix,|,Ask about memories of the past.,|,"Hmph. If you want tales of the past, go ask the boar. I'm sure he'd be glad to regale you.",|,Acquiesce.,|
Felix,|,Ask about their friends.,|,"Everyone fights in their own way, but somehow it just...works. We've got a good group here.",|,Sympathize.,|
Felix,|,Ask about preferred fighting style.,|,"Hard to say. Leading the charge on the front lines, I guess.",|,Agree.,|
Felix,|,Ask what they think of you.,|,Your unit is impressive. I'd like to watch you train sometime.,|,Be pleased.,|
Felix,|,Ask what they think of you.,|,"Working for the boar isn't easy. Trust me, I know. But don't go slacking off.",|,Act dependable.,|
Felix,|,Ask about any personal news.,|,"I've got a lot on my mind, but I'd rather that than be sitting bored in my room.",|,Offer to help.,|
